# LUNARVOID Candidate Registry — the ONE project-level list of inferred
# void candidates. Populated by WP2 sag search (Task 18+), enriched by
# WP3 fusion, audited by skeptic. CLAIM DISCIPLINE APPLIES: these are
# INFERENCES with confidence tiers, never detections. FP reporting per
# 10^4 km^2 is computed over the searched area, not over this list.
#
# Schema (one row per candidate; append, never silently delete —
# use status=DOWNGRADED with a reason):
#
# candidate_id   LV-<dtm>-<n> stable unique id
# lon,lat        planetocentric, -180..180
# dtm            NAC DTM name the candidate was found in
# span_m         candidate long-axis span in metres (60-300 prior)
# sag_amp_m      recovered depression amplitude (m)
# score          raw detector score (depth x Frangi)
# confusion      nearest confusion-layer class (rille/chain/ridge/
#                graben/bg) + distance_m — a rille shoulder candidate
#                must show this field before any promotion
# methods        evidence streams currently agreeing," ""|""-separated"
#                (morphometry|gravity|thermal|illumination)
# tier           A = two+ independent methods agree; B = one method,
#                confusion-cleared; C = raw morphometry only
# status         ACTIVE / DOWNGRADED / SUPERSEDED
# first_found    YYYY-MM-DD; updated: YYYY-MM-DD
# evidence       path to the CSV/JSON row(s) backing this candidate
"# notes          one line; failure-mode flags (e.g. ""I14 funnel risk"")"
#
# The two-independent-methods rule: tier A REQUIRES methods to include
# at least one of gravity/thermal/illumination in addition to
# morphometry. Morphometry alone can never exceed tier B.
candidate_id,lon,lat,dtm,span_m,sag_amp_m,score,confusion,methods,tier,status,first_found,updated,evidence,notes
LV-INGENIIPIT-0500cm-r003,166.056376,-35.948589,INGENIIPIT,10157.2,61.398,11.5498,n/a|rille=177041m|chain=578m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0500cm-r003,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0500cm-r004,166.054996,-35.949520,INGENIIPIT,9552.2,80.722,10.7835,n/a|rille=177031m|chain=606m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0500cm-r004,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0500cm-r005,166.057526,-35.949147,INGENIIPIT,8628.8,30.210,5.8069,n/a|rille=177078m|chain=597m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0500cm-r005,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0500cm-r006,166.053615,-35.949520,INGENIIPIT,6973.1,20.804,4.8739,n/a|rille=177000m|chain=608m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0500cm-r006,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0500cm-r007,166.055686,-35.951008,INGENIIPIT,7769.1,25.864,4.7642,n/a|rille=177077m|chain=651m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0500cm-r007,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-INGENIIPIT-0500cm-r008,166.056606,-35.950822,INGENIIPIT,8533.3,24.673,4.2823,n/a|rille=177093m|chain=646m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-INGENIIPIT-0500cm-r008,frozen-frac=0.20 slope=45 neigh=5; ring artifact around catalogued pit r001; not an independent void candidate; ring artifact around catalogued pit r001; not an independent void candidate
LV-IRIDIUMPIT1-0400cm-r001,-28.620277,46.373071,IRIDIUMPIT1,19897.2,0.131,0.0131,n/a|rille=37440m|chain=1270m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-IRIDIUMPIT1-0400cm-r001,below-local-floor
LV-IRIDIUMPIT1-0500cm-r001,-28.620277,46.373071,IRIDIUMPIT1,19897.2,0.131,0.0131,n/a|rille=37440m|chain=1270m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-IRIDIUMPIT1-0500cm-r001,below-local-floor
LV-MARIUSPIT01-0400cm-r001,-56.770657,14.091244,MARIUSPIT01,1206.1,14.541,0.0050,rille/0m,C,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-MARIUSPIT01-0400cm-r001,"tier-B multi-method; downgraded from B: I14 funnel risk — rille intersection is the pre-registered v5 false-positive generator, not independent confirmation; downgraded from B: I14 funnel risk — rille intersection is the pre-registered v5 false-positive generator, not independent confirmation"
LV-MARIUSPIT01-0400cm-r002,-56.770316,14.092897,MARIUSPIT01,4925.1,4.353,0.0022,rille/0m,C,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-MARIUSPIT01-0400cm-r002,"tier-B multi-method; downgraded from B: I14 funnel risk — rille intersection is the pre-registered v5 false-positive generator, not independent confirmation; downgraded from B: I14 funnel risk — rille intersection is the pre-registered v5 false-positive generator, not independent confirmation"
LV-MARIUSPIT01-0800cm-r001,-56.560418,15.030650,MARIUSPIT01,13167.1,0.154,0.0078,n/a|rille=15486m|chain=955m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-MARIUSPIT01-0800cm-r001,below-local-floor
LV-MARIUSPIT01-0800cm-r002,-56.770657,14.091244,MARIUSPIT01,1206.1,13.471,0.0046,rille/0m,C,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-MARIUSPIT01-0800cm-r002,"tier-B multi-method; downgraded from B: I14 funnel risk — rille intersection is the pre-registered v5 false-positive generator, not independent confirmation; downgraded from B: I14 funnel risk — rille intersection is the pre-registered v5 false-positive generator, not independent confirmation"
LV-MARIUSPIT01-0800cm-r003,-56.892644,14.703742,MARIUSPIT01,14071.7,0.132,0.0035,n/a|rille=1520m|chain=2932m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-MARIUSPIT01-0800cm-r003,below-local-floor
LV-MARIUSPIT01-0800cm-r004,-56.931829,14.106780,MARIUSPIT01,13468.7,0.129,0.0027,n/a|rille=72m|chain=1384m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-MARIUSPIT01-0800cm-r004,below-local-floor
LV-PRCLRMPIT01-0400cm-r001,-45.639655,35.407149,PRCLRMPIT01,19933.0,46.539,1.7331,n/a|rille=47895m|chain=2445m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-PRCLRMPIT01-0400cm-r001,frozen-frac=0.20 slope=45 neigh=5
LV-PRCLRMPIT01-0500cm-r001,-45.639655,35.407149,PRCLRMPIT01,19933.0,46.539,1.7331,n/a|rille=47895m|chain=2445m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-PRCLRMPIT01-0500cm-r001,frozen-frac=0.20 slope=45 neigh=5
LV-SWFECUNPIT1-0200cm-r001,42.759529,-6.751916,SWFECUNPIT1,11401.4,31.223,0.0777,n/a|rille=113624m|chain=1166m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-SWFECUNPIT1-0200cm-r001,frozen-frac=0.20 slope=45 neigh=5
LV-SWFECUNPIT1-0400cm-r001,42.759529,-6.751916,SWFECUNPIT1,11401.4,31.223,0.0777,n/a|rille=113624m|chain=1166m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-SWFECUNPIT1-0400cm-r001,frozen-frac=0.20 slope=45 neigh=5
LV-SWFECUNPIT1-0500cm-r001,42.759529,-6.751916,SWFECUNPIT1,11401.4,31.419,0.0782,n/a|rille=113624m|chain=1166m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-SWFECUNPIT1-0500cm-r001,frozen-frac=0.20 slope=45 neigh=5
LV-TRANQPIT1-0500cm-r001,33.195020,8.746131,TRANQPIT1,3984.0,95.430,18.1427,n/a|rille=187624m|chain=131m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-TRANQPIT1-0500cm-r001,12-km-scale FP from pit; possible floor-fractured crater rim / ejecta / modification — visual inspection required to confirm FP label
LV-TRANQPIT1-0500cm-r002,33.199150,8.747714,TRANQPIT1,2240.0,57.446,6.3249,n/a|rille=187651m|chain=211m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-TRANQPIT1-0500cm-r002,12-km-scale FP from pit; possible floor-fractured crater rim / ejecta / modification — visual inspection required to confirm FP label
LV-TRANQPIT1-0500cm-r003,33.199283,8.748242,TRANQPIT1,2288.0,48.755,5.8676,n/a|rille=187639m|chain=227m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-TRANQPIT1-0500cm-r003,12-km-scale FP from pit; possible floor-fractured crater rim / ejecta / modification — visual inspection required to confirm FP label
LV-TRANQPIT1-0500cm-r004,33.223393,8.336018,TRANQPIT1,3072.0,127.473,3.7190,n/a|rille=198656m|chain=1307m,morphometry,C,ACTIVE,2026-08-22,2026-08-22,01_WORKSPACE/data/outputs/wp2_sag/transfer/transfer_summary.json#LV-TRANQPIT1-0500cm-r004,frozen-frac=0.20 slope=45 neigh=5
